year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,country_of_production_trase_id,country_of_destination_trase_id,volume,fob
"2013","PERU","PAITA","CRIADERO LOS PACAES S.A.","CRIADERO LOS PACAES S.A.","SPAIN","EUROPEAN UNION","PE","ES","117.22","762818.8"
"2013","PERU","PUERTO DEL CALLAO","LA FRAGATA S A","LA FRAGATA S A","UNITED STATES","UNITED STATES","PE","US","99.79031","793576"
"2013","PERU","PAITA","LANGOSTINERA MACORI SOCIEDAD COMERCIAL D","LANGOSTINERA MACORI SOCIEDAD COMERCIAL D","UNITED STATES","UNITED STATES","PE","US","44.56546","472645"
"2013","PERU","PAITA","MARINAZUL S A","MARINAZUL S A","UNITED STATES","UNITED STATES","PE","US","2008.21619","23577600.82"
"2013","PERU","PAITA","EXPORTACIONES LIVIAMAR SOCIEDAD ANONIMA","EXPORTACIONES LIVIAMAR SOCIEDAD ANONIMA","SPAIN","EUROPEAN UNION","PE","ES","44.26","261645.45"
"2013","PERU","PUERTO DEL CALLAO","CORPORACION REFRIGERADOS INY SA","CORPORACION REFRIGERADOS INY SA","FRANCE","EUROPEAN UNION","PE","FR","0.002","1.02"
"2013","PERU","PAITA","CULTIVO COMERCIAL DEL LANGOSTINO SAC","CULTIVO COMERCIAL DEL LANGOSTINO SAC","SPAIN","EUROPEAN UNION","PE","ES","41.038","233761.4"
"2013","PERU","PAITA","LANGOSTINERA MACORI SOCIEDAD COMERCIAL D","LANGOSTINERA MACORI SOCIEDAD COMERCIAL D","SPAIN","EUROPEAN UNION","PE","ES","86.914","594311.99"
"2013","PERU","PUERTO DEL CALLAO","CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE","CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE","SPAIN","EUROPEAN UNION","PE","ES","0.00127","0.58"
"2013","PERU","PAITA","LANGOSTINERA HUACURA E I R L","LANGOSTINERA HUACURA E I R L","UKRAINE","UKRAINE","PE","UA","22","153113.95"
"2013","PERU","PAITA","LANGOSTINERA VICTORIA SRL","LANGOSTINERA VICTORIA SRL","UNITED STATES","UNITED STATES","PE","US","112.31401","993694.7"
"2013","PERU","PAITA","LANGOSTINERA TUMBES S.A.C.","LANGOSTINERA TUMBES S.A.C.","FRANCE","EUROPEAN UNION","PE","FR","21","118650"
"2013","PERU","PAITA","AQUATROPICAL S A C","AQUATROPICAL S A C","UNITED STATES","UNITED STATES","PE","US","19.165","211304.5"
